id_equipement,date,observation,recommandation,Travaux effectués & Notes,analyste,importance
244-3P-1,2024-06-05,"Il y a eu une légère baisse en HR sur la pompe, mais encore assez élevé.",à suivre.,Mésure de la HR et la comparaison,A. Angelico,
262-1P-4,2024-04-03,Hausse des fréquences sur le moteur et la pompe. Fréquence de roulement ?,à confirmer.,Mesure,Angelico A.,
244-3P-2,2025-01-13,Hausse en HR sur la pompe depuis 2 mois environ- semblable à un manque de lubrification;,petite bouteille ?,Mesure,Zed,Important
214-89A,2025-04-02,"Moteur bruyant selon Éric, Hausse en HR sur le moteur + demod,",-,Lub possible ?,Angelico A.,Important
16V-1,2023-09-15,"Changement des amplitudes sur le moteur et génératrice,",-,Un remplacement a été fait.,Angelico,Moins important
38-2P-3,2026-05-05,Nouvelle hausse du plancher.,à suivre de près avant de faire un avis.,à revoir dans quelques semaines.,Angelico A.,Important
13-10P-1,2026-06-10,10-06-25 : Hausse du plancher en HR + 1 x .,à confirmer,à voir pour avis.,Angelico A.,Pas de collecte mais important
25-24P,2025-08-07,Le 1x est stable.,-,-,Angelico A.,Moins important
214-14-C,2024-05-23,Hausse du 1x C.,à confirmer.,à discuter.,Angelico A.,Important
32-1H-3,2022-11-02,Collecte marginale ? Première collecte depuis le 6 avril 2022.,-,Que s'est-il passé ?,Angelico A.,Pas de collecte mais important
232-1H1,2026-10-09,"La hausse est confirmée, surtout sur M-CA, il y a eu une nouvelle hausse.",à suivre pour évolution.,-,A. Angelico,Important
