id_equipement,point_mesure,date,vitesse_rpm,twf_rms_g,crest_factor,twf_peak_to_peak_g
262-1P-4,M-COA,2023-06-01,1760.0,0.17,3.5,1.16
262-1P-4,M-COA,2023-07-02,1768.0,0.22,3.74,1.4
262-1P-4,M-COA,2023-02-03,1758.0,0.23,3.65,1.45
262-1P-4,M-COA,2023-05-04,1764.0,1.19,4.03,1.34
262-1P-4,M-COA,2023-06-06,1762.0,0.21,3.29,1.3
262-1P-4,M-COA,2023-05-07,1763.0,0.21,3.77,1.41
262-1P-4,M-COA,2023-08-08,1763.0,0.33,3.8,2.19
262-1P-4,M-COA,2023-06-09,1767.0,0.29,3.58,1.98
262-1P-4,M-COA,2024-03-01,1767.0,0.18,3.41,1.08
262-1P-4,M-COA,2024-05-02,1765.0,0.15,3.31,0.91
